value,forecast
0.139,0.132
0.106,0.126
0.147,0.121
0.079,0.13
0.15,0.126
0.127,0.131
0.121,0.128
0.148,0.138
0.162,0.157
0.115,0.142
0.139,0.134
0.136,0.128
0.162,0.149
0.09,0.124
0.156,0.156
0.127,0.147
0.137,0.122
0.138,0.15
0.154,0.143
0.153,0.159
0.119,0.138
0.141,0.122
0.13,0.139
0.152,0.152
0.129,0.143
0.207,0.158
0.18,0.155
0.152,0.149
0.158,0.16
0.158,0.156
0.14,0.15
0.146,0.139
0.144,0.144
0.14,0.145
0.142,0.139
0.131,0.138
0.127,0.13
0.11,0.123
0.139,0.128
0.151,0.145
0.173,0.159
0.093,0.125
0.124,0.157
0.19,0.123
0.107,0.143
0.164,0.15
0.129,0.125
0.161,0.131
0.112,0.134
0.155,0.133
0.147,0.146
0.136,0.148
0.14,0.138
0.132,0.133
0.112,0.124
0.121,0.125
0.152,0.146
0.162,0.149
0.156,0.148
0.154,0.147
0.154,0.152
0.126,0.139
0.114,0.126
0.127,0.124
0.145,0.124
0.18,0.16
0.111,0.135
0.182,0.15
0.131,0.147
0.137,0.13
0.154,0.148
0.13,0.148
0.131,0.137
0.123,0.133
0.143,0.133
0.135,0.135
0.133,0.13
0.178,0.151
0.122,0.16
0.141,0.138
0.123,0.138
0.122,0.147
0.139,0.122
0.13,0.134
0.125,0.13
0.154,0.141
0.102,0.157
0.121,0.15
0.142,0.132
0.184,0.156
0.129,0.139
0.116,0.13
0.158,0.136
0.123,0.142
0.134,0.128
0.143,0.137
0.124,0.141
0.158,0.147
0.183,0.158
0.062,0.129
0.149,0.151
0.128,0.141
0.149,0.121
0.16,0.121
0.16,0.16
0.146,0.158
0.158,0.146
0.142,0.142
0.146,0.137
0.125,0.132
0.134,0.126
0.165,0.15
0.098,0.126
0.124,0.123
0.14,0.132
0.143,0.14
0.165,0.147
0.042,0.15
0.16,0.153
0.148,0.151
0.134,0.145
0.177,0.155
0.118,0.154
0.119,0.131
0.113,0.121
0.14,0.137
0.116,0.127
0.119,0.127
0.146,0.128
0.139,0.146
0.126,0.135
0.116,0.123
0.132,0.133
0.129,0.136
0.135,0.126
0.176,0.15
0.124,0.132
0.238,0.131
0.179,0.148
0.093,0.135
0.135,0.121
0.185,0.151
0.12,0.134
0.132,0.131
0.169,0.144
0.11,0.148
0.162,0.138
0.12,0.15
0.165,0.154
