序号,a,b,c
1,115.7410,3.3468,0.0000
2,65.7774,2.1523,0.0425
3,64.7972,0.8962,0.1017
4,74.7433,0.7479,0.1456
5,61.8049,0.9192,0.1815
6,50.8445,0.8593,0.2233
7,54.9593,0.8520,0.2642
8,51.5208,0.7387,0.3078
9,43.9511,1.0758,0.3372
10,51.2401,0.7342,0.3881
11,44.3123,0.9294,0.4200
12,46.8599,0.7597,0.4664
13,38.0977,1.0381,0.4976
14,38.4113,0.9747,0.5401
15,46.0069,0.8151,0.5847
16,47.1914,2.2420,0.5945
17,48.0573,0.6653,0.6711
18,49.8698,0.7620,0.7057
19,51.7865,1.2633,0.7304
20,48.5348,0.8166,0.7860
21,55.7121,1.1376,0.8136
22,83.1054,0.5025,0.8738
23,73.6055,0.8108,0.9015
24,153.0047,0.4104,0.9521
25,113.2044,1.3440,0.9723
