power,time
0.0,8759
404.801,8758
411.504,8757
418.018,8756
418.652,8755
433.223,8754
436.529,8753
439.777,8752
442.746,8751
450.548,8750
450.677,8749
451.058,8748
454.72,8747
455.009,8746
456.76,8745
460.99,8744
461.777,8743
465.11,8742
466.383,8741
466.67,8740
467.699,8739
471.449,8738
473.059,8737
473.75,8736
474.535,8735
478.691,8734
484.359,8733
487.19,8732
488.011,8731
488.808,8730
489.159,8729
489.657,8728
490.07,8727
490.487,8726
490.753,8725
492.021,8724
492.456,8723
492.827,8722
493.347,8721
494.403,8720
494.871,8719
497.132,8718
498.007,8717
500.275,8716
500.576,8715
502.011,8714
502.061,8713
502.104,8712
504.26,8711
505.106,8710
506.7,8709
506.788,8708
507.642,8707
507.644,8706
509.528,8705
510.242,8704
510.274,8703
510.702,8702
511.265,8701
511.663,8700
511.742,8699
512.229,8698
512.275,8697
512.462,8696
513.226,8695
514.745,8694
514.872,8693
514.897,8692
515.146,8691
515.874,8690
516.095,8689
516.209,8688
517.545,8687
518.349,8686
518.836,8685
519.514,8684
519.708,8683
520.313,8682
520.95,8681
521.559,8680
521.937,8679
522.27,8678
523.516,8677
526.65,8676
527.248,8675
527.741,8674
527.807,8673
529.271,8672
529.296,8671
529.749,8670
530.298,8669
532.463,8668
532.879,8667
533.005,8666
534.083,8665
535.518,8664
535.581,8663
535.669,8662
537.22,8661
538.219,8660
539.722,8659
540.111,8658
542.266,8657
544.671,8656
544.925,8655
545.68,8654
545.69,8653
545.696,8652
546.733,8651
548.385,8650
549.262,8649
549.721,8648
549.806,8647
549.929,8646
550.016,8645
550.21,8644
550.497,8643
551.616,8642
552.005,8641
552.024,8640
552.361,8639
552.711,8638
553.877,8637
554.485,8636
555.258,8635
556.72,8634
558.19,8633
558.345,8632
558.354,8631
558.365,8630
558.617,8629
559.127,8628
559.441,8627
560.335,8626
560.42,8625
560.476,8624
560.653,8623
560.762,8622
560.806,8621
561.152,8620
561.583,8619
562.016,8618
562.399,8617
562.709,8616
563.64,8615
563.824,8614
564.281,8613
564.509,8612
564.535,8611
564.844,8610
565.399,8609
565.825,8608
566.151,8607
566.464,8606
567.186,8605
567.986,8604
568.495,8603
568.882,8602
569.111,8601
569.128,8600
569.731,8599
569.772,8598
570.215,8597
570.701,8596
570.772,8595
571.059,8594
571.378,8593
571.468,8592
571.667,8591
571.958,8590
572.068,8589
572.191,8588
572.635,8587
572.726,8586
572.819,8585
572.826,8584
573.084,8583
574.419,8582
575.164,8581
575.189,8580
575.547,8579
575.683,8578
575.846,8577
575.866,8576
576.16,8575
576.619,8574
577.109,8573
577.459,8572
577.666,8571
577.68,8570
577.789,8569
577.815,8568
578.089,8567
578.332,8566
578.571,8565
578.995,8564
581.168,8563
581.185,8562
582.468,8561
583.879,8560
584.217,8559
584.246,8558
584.252,8557
584.705,8556
585.024,8555
585.65,8554
586.169,8553
586.474,8552
586.601,8551
587.35,8550
587.533,8549
588.001,8548
588.033,8547
588.817,8546
589.36,8545
590.95,8544
591.368,8543
592.56,8542
592.735,8541
593.324,8540
593.491,8539
595.212,8538
596.344,8537
597.972,8536
598.026,8535
598.046,8534
598.992,8533
599.079,8532
599.302,8531
599.655,8530
600.176,8529
600.246,8528
600.334,8527
600.672,8526
600.77,8525
601.178,8524
601.289,8523
601.462,8522
601.465,8521
601.99,8520
602.362,8519
602.765,8518
603.632,8517
604.201,8516
604.389,8515
605.297,8514
605.302,8513
605.712,8512
605.952,8511
605.993,8510
606.319,8509
606.47,8508
607.025,8507
607.122,8506
607.69,8505
608.383,8504
608.702,8503
609.214,8502
609.774,8501
610.178,8500
610.255,8499
610.947,8498
611.031,8497
611.931,8496
612.632,8495
612.834,8494
612.942,8493
613.702,8492
613.8,8491
613.858,8490
614.094,8489
614.185,8488
615.229,8487
615.317,8486
616.328,8485
616.34,8484
616.399,8483
616.643,8482
616.732,8481
617.147,8480
617.875,8479
617.999,8478
618.199,8477
618.911,8476
618.998,8475
619.167,8474
619.757,8473
619.962,8472
620.108,8471
621.362,8470
621.476,8469
622.479,8468
623.023,8467
623.058,8466
624.284,8465
624.298,8464
624.328,8463
625.195,8462
625.206,8461
625.539,8460
625.994,8459
626.018,8458
626.168,8457
626.88,8456
627.097,8455
627.433,8454
627.607,8453
628.242,8452
628.248,8451
628.431,8450
629.0,8449
629.378,8448
629.56,8447
629.613,8446
629.649,8445
629.805,8444
629.892,8443
629.996,8442
630.653,8441
630.68,8440
630.956,8439
631.986,8438
632.329,8437
632.556,8436
632.951,8435
633.057,8434
635.912,8433
636.144,8432
636.62,8431
637.028,8430
637.908,8429
638.015,8428
638.31,8427
638.376,8426
638.521,8425
638.784,8424
638.861,8423
639.204,8422
639.706,8421
639.771,8420
639.996,8419
