power,time
0,8759
1,8759
2,8759
3,8759
4,8759
5,8759
6,8759
7,8759
8,8759
9,8759
10,8759
11,8759
12,8759
13,8759
14,8759
15,8759
16,8759
17,8759
18,8759
19,8759
20,8759
21,8759
22,8759
23,8759
24,8759
25,8759
26,8759
27,8759
28,8759
29,8759
30,8759
31,8759
32,8759
33,8759
34,8759
35,8759
36,8759
37,8759
38,8759
39,8759
40,8759
41,8759
42,8759
43,8759
44,8759
45,8759
46,8759
47,8759
48,8759
49,8759
50,8759
51,8759
52,8759
53,8759
54,8759
55,8759
56,8759
57,8759
58,8759
59,8759
60,8759
61,8759
62,8759
63,8759
64,8759
65,8759
66,8759
67,8759
68,8759
69,8759
70,8759
71,8759
72,8759
73,8759
74,8759
75,8759
76,8759
77,8759
78,8759
79,8759
80,8759
81,8759
82,8759
83,8759
84,8759
85,8759
86,8759
87,8759
88,8759
89,8759
90,8759
91,8759
92,8759
93,8759
94,8759
95,8759
96,8759
97,8759
98,8759
99,8759
100,8759
101,8759
102,8759
103,8759
104,8759
105,8759
106,8759
107,8759
108,8759
109,8759
110,8759
111,8759
112,8759
113,8759
114,8759
115,8759
116,8759
117,8759
118,8759
119,8759
120,8759
121,8759
122,8759
123,8759
124,8759
125,8759
126,8759
127,8759
128,8759
129,8759
130,8759
131,8759
132,8759
133,8759
134,8759
135,8759
136,8759
137,8759
138,8759
139,8759
140,8759
141,8759
142,8759
143,8759
144,8759
145,8759
146,8759
147,8759
148,8759
149,8759
150,8759
151,8759
152,8759
153,8759
154,8759
155,8759
156,8759
157,8759
158,8759
159,8759
160,8759
161,8759
162,8759
163,8759
164,8759
165,8759
166,8759
167,8759
168,8759
169,8759
170,8759
171,8759
172,8759
173,8759
174,8759
175,8759
176,8759
177,8759
178,8759
179,8759
180,8759
181,8759
182,8759
183,8759
184,8759
185,8759
186,8759
187,8759
188,8759
189,8759
190,8759
191,8759
192,8759
193,8759
194,8759
195,8759
196,8759
197,8759
198,8759
199,8759
200,8759
201,8759
202,8759
203,8758
204,8758
205,8758
206,8758
207,8758
208,8758
209,8758
210,8758
211,8758
212,8758
213,8758
214,8758
215,8758
216,8758
217,8758
218,8758
219,8758
220,8758
221,8758
222,8758
223,8758
224,8758
225,8758
226,8758
227,8758
228,8758
229,8758
230,8758
231,8758
232,8758
233,8758
234,8758
235,8758
236,8758
237,8758
238,8758
239,8758
240,8758
241,8758
242,8758
243,8758
244,8758
245,8758
246,8758
247,8758
248,8758
249,8758
250,8758
251,8758
252,8758
253,8758
254,8758
255,8758
256,8758
257,8758
258,8758
259,8758
260,8758
261,8758
262,8758
263,8758
264,8758
265,8758
266,8758
267,8758
268,8758
269,8758
270,8758
271,8758
272,8758
273,8758
274,8758
275,8758
276,8758
277,8758
278,8758
279,8758
280,8758
281,8758
282,8758
283,8758
284,8758
285,8758
286,8758
287,8758
288,8758
289,8758
290,8758
291,8758
292,8758
293,8758
294,8758
295,8758
296,8758
297,8758
298,8758
299,8758
300,8758
301,8758
302,8758
303,8758
304,8758
305,8758
306,8758
307,8758
308,8758
309,8758
310,8758
311,8758
312,8758
313,8758
314,8758
315,8758
316,8758
317,8758
318,8758
319,8758
320,8758
321,8758
322,8758
323,8758
324,8758
325,8758
326,8758
327,8758
328,8758
329,8758
330,8758
331,8758
332,8758
333,8758
334,8758
335,8758
336,8758
337,8758
338,8758
339,8758
340,8758
341,8758
342,8758
343,8758
344,8758
345,8758
346,8758
347,8758
348,8758
349,8758
350,8758
351,8758
352,8758
353,8758
354,8758
355,8758
356,8758
357,8758
358,8758
359,8758
360,8758
361,8758
362,8758
363,8758
364,8758
365,8758
366,8758
367,8758
368,8758
369,8758
370,8758
371,8758
372,8758
373,8758
374,8758
375,8758
376,8758
377,8758
378,8758
379,8758
380,8758
381,8758
382,8758
383,8758
384,8758
385,8758
386,8758
387,8758
388,8758
389,8758
390,8758
391,8758
392,8758
393,8758
394,8758
395,8758
396,8758
397,8758
398,8758
399,8758
400,8758
401,8758
402,8758
403,8758
404,8758
405,8758
406,8758
407,8758
408,8758
409,8757
410,8757
411,8757
412,8757
413,8757
414,8757
415,8756
416,8756
417,8756
418,8756
419,8755
420,8755
421,8755
422,8755
423,8755
424,8755
425,8755
426,8754
427,8754
428,8754
429,8754
430,8754
431,8754
432,8754
433,8754
434,8754
435,8753
436,8753
437,8753
438,8753
439,8752
440,8752
441,8752
442,8751
443,8751
444,8751
445,8751
446,8751
447,8750
448,8750
449,8750
450,8750
451,8748
452,8748
453,8747
454,8747
455,8746
456,8745
457,8745
458,8745
459,8744
460,8744
461,8744
462,8743
463,8743
464,8742
465,8742
466,8741
467,8740
468,8739
469,8739
470,8738
471,8738
472,8738
473,8737
474,8736
475,8735
476,8735
477,8734
478,8734
479,8734
480,8734
481,8734
482,8733
483,8733
484,8733
485,8733
486,8732
487,8732
488,8731
489,8729
490,8727
491,8725
492,8724
493,8722
494,8720
495,8719
496,8719
497,8718
498,8717
499,8717
500,8716
501,8715
502,8714
503,8712
504,8711
505,8710
506,8709
507,8708
508,8706
509,8705
510,8704
511,8701
512,8698
513,8695
514,8694
515,8692
516,8689
517,8687
518,8686
519,8685
520,8683
521,8681
522,8679
523,8677
524,8677
525,8677
526,8676
527,8675
528,8673
529,8672
530,8670
531,8669
532,8668
533,8666
534,8665
535,8664
536,8662
537,8661
538,8660
539,8659
540,8658
541,8658
542,8657
543,8657
544,8656
545,8655
546,8652
547,8651
548,8650
549,8649
550,8645
551,8643
552,8641
553,8638
554,8637
555,8635
556,8634
557,8634
558,8633
559,8628
560,8626
561,8620
562,8618
563,8616
564,8614
565,8610
566,8607
567,8605
568,8604
569,8601
570,8597
571,8594
572,8590
573,8583
574,8582
575,8581
576,8576
577,8573
578,8567
579,8564
580,8564
581,8563
582,8561
583,8561
584,8560
585,8555
586,8553
587,8550
588,8548
589,8546
590,8545
591,8544
592,8542
593,8541
594,8539
595,8538
596,8537
597,8537
598,8535
599,8533
600,8529
601,8524
602,8520
603,8518
604,8516
605,8514
606,8510
607,8507
608,8505
609,8502
610,8500
611,8497
612,8496
613,8493
614,8489
615,8487
616,8485
617,8480
618,8478
619,8475
620,8472
621,8470
622,8468
623,8467
624,8465
625,8462
626,8459
627,8455
628,8452
629,8449
630,8442
631,8439
632,8438
633,8435
634,8434
635,8433
636,8433
637,8430
638,8428
639,8423
640,8419
641,8413
642,8410
643,8407
644,8403
645,8400
646,8396
647,8390
648,8385
649,8383
650,8379
651,8376
652,8372
653,8369
654,8364
655,8361
656,8359
657,8357
658,8356
659,8351
660,8347
661,8343
662,8339
663,8334
664,8328
665,8325
666,8323
667,8319
668,8318
669,8317
670,8314
671,8312
672,8307
673,8305
674,8303
675,8300
676,8298
677,8295
678,8293
679,8288
680,8284
681,8280
682,8274
683,8271
684,8268
685,8265
686,8261
687,8258
688,8254
689,8249
690,8248
691,8243
692,8241
693,8236
694,8231
695,8225
696,8222
697,8220
698,8217
699,8210
700,8207
701,8203
702,8197
703,8190
704,8185
705,8179
706,8175
707,8172
708,8163
709,8155
710,8147
711,8139
712,8133
713,8125
714,8118
715,8112
716,8107
717,8100
718,8091
719,8076
720,8070
721,8065
722,8059
723,8048
724,8040
725,8028
726,8022
727,8016
728,8003
729,7992
730,7979
731,7963
732,7952
733,7939
734,7927
735,7910
736,7906
737,7894
738,7889
739,7876
740,7867
741,7852
742,7834
743,7822
744,7812
745,7797
746,7782
747,7775
748,7764
749,7753
750,7742
751,7731
752,7722
753,7705
754,7698
755,7685
756,7676
757,7670
758,7660
759,7653
760,7645
761,7635
762,7622
763,7611
764,7591
765,7572
766,7561
767,7550
768,7534
769,7525
770,7508
771,7495
772,7485
773,7471
774,7461
775,7451
776,7435
777,7421
778,7403
779,7390
780,7374
781,7364
782,7351
783,7337
784,7324
785,7315
786,7294
787,7279
788,7271
789,7258
790,7244
791,7226
792,7211
793,7191
794,7180
795,7164
796,7149
797,7138
798,7126
799,7113
800,7098
801,7089
802,7074
803,7060
804,7043
805,7027
806,7014
807,7002
808,6987
809,6974
810,6962
811,6944
812,6934
813,6911
814,6896
815,6883
816,6872
817,6858
818,6838
819,6826
820,6814
821,6792
822,6778
823,6762
824,6750
825,6743
826,6727
827,6707
